,university_id,name,state_code,department_id,discipline,faculty_id,course_id,survey_year,examination_result_id,infra_count,infrastructure,percentage,pass_percentage,combined,user_defined_score
38611,740,ARUNACHAL UNIVERSITY OF STUDIES,12,,Computer Science,74146.0,2239418,2019,2064633,6,75.0,1.0,,38.0,
38612,740,ARUNACHAL UNIVERSITY OF STUDIES,12,,Computer Science,74146.0,2239418,2019,2064633,6,75.0,1.0,,38.0,
38613,740,ARUNACHAL UNIVERSITY OF STUDIES,12,,Computer Science,74146.0,2239418,2019,2064633,6,75.0,1.0,,38.0,
38614,740,ARUNACHAL UNIVERSITY OF STUDIES,12,,Computer Science,74146.0,2239418,2019,2064633,6,75.0,1.0,,38.0,
38615,740,ARUNACHAL UNIVERSITY OF STUDIES,12,,Computer Science,74146.0,2239418,2019,2064633,6,75.0,1.0,,38.0,
38616,740,ARUNACHAL UNIVERSITY OF STUDIES,12,,Computer Science,74146.0,2239418,2019,2064633,6,75.0,1.0,,38.0,
38617,740,ARUNACHAL UNIVERSITY OF STUDIES,12,,Computer Science,74146.0,2239418,2019,2064633,6,75.0,1.0,,38.0,
38618,740,ARUNACHAL UNIVERSITY OF STUDIES,12,,Computer Science,74146.0,2239418,2019,2064633,6,75.0,1.0,,38.0,
38619,740,ARUNACHAL UNIVERSITY OF STUDIES,12,,Computer Science,74146.0,2239418,2019,2064633,6,75.0,1.0,,38.0,
38620,740,ARUNACHAL UNIVERSITY OF STUDIES,12,,Computer Science,74146.0,2239418,2019,2064633,6,75.0,1.0,,38.0,
38621,740,ARUNACHAL UNIVERSITY OF STUDIES,12,,Computer Science,74146.0,2239418,2019,2064633,6,75.0,1.0,,38.0,
38622,740,ARUNACHAL UNIVERSITY OF STUDIES,12,,Computer Science,74146.0,2239418,2019,2064633,6,75.0,1.0,,38.0,
38623,740,ARUNACHAL UNIVERSITY OF STUDIES,12,,Computer Science,74146.0,2239418,2019,2064633,6,75.0,1.0,,38.0,
38624,740,ARUNACHAL UNIVERSITY OF STUDIES,12,,Computer Science,74146.0,2239418,2019,2064633,6,75.0,1.0,,38.0,
